IDP ID,Uniprot ID,Disorder regions,Uniprot ID (obsolete)
IID90040,Q99ZW2,448-502,
IID90025,O29634,201-205,
IID90021,"P12978,Q777H1,Q69023",431-487,
IID90018,P03406,58-73,
IID90015,O73947,118-125,
IID90014,P26554,141-151,
IID90010,P68466,121-126,P18382
IID90009,P61875,"611-616,663-678,705-723,705-728,758-773","P95584,P80061"
IID90008,P0DJ89,"268-314,268-300,268-314",Q8X2D5
IID90007,"P06492,B9VQH6,Q09I86",412-490,
IID90006,P04486,412-490,
IID90005,"P03126,Q71BI7","152-158,152-158",
IID90003,"P03255,P06438,Q64826,Q64825","53-91,1-139",
IID50341,"Q8R3G8,Q8K368,Q8BUE9",554-562,
IID50338,"Q7JQ07,Q05417,Q05415,Q05407",166-188,
IID50331,Q61337,1-182,
IID50312,P20797,150-163,
IID50311,"P19619,Q29547",1-40,
IID50306,O88513,79-87,
IID50303,"O54918,O54919,O54920,A2ALQ6",98-169,
IID50301,O36030,"218-227,244-249,283-301,245-252",
IID50297,G0SDW4,320-360,
IID50287,P97784,40-46,
IID50275,"P38634,D6VY79",1-90,
IID50271,"P20676,D6W2F9","1-973,1-973",
IID50266,"O55000,Q6MG09",309-433,
IID50254,O08773,496-531,
IID50251,"P34021,Q95TS4,Q9V9K8,Q0E9N8,Q8SY10,Q6AWL4",339-364,
IID50247,P02699,330-348,
IID50232,"Q8C351,Q3TMU7,E9QQ23",367-381,
IID50225,"Q07794,D6VY01",143-174,
IID50223,"Q05471,D6VSW6","590-651,590-651",
IID50219,P83940,50-57,Q63182
IID50217,P62878,"40-108,40-108","Q9D1S2,Q9Y254,Q8N6Z8,Q9WUK9"
IID50210,"P40019,D3DLS9",1-137,
IID50205,"P26039,Q8VEF0,A2AIM8",316-326,
IID50204,"P25638,D6VR65",93-111,
IID50197,P07313,578-603,
IID50193,"O35718,Q3U7X5,P97803","22-225,22-29",
IID50189,Q07346,470-495,
IID50167,"P14736,D3DM70",1-120,
IID50166,"P07276,D6VV38,E9P8X9",642-690,
IID50147,"P84233,A4FVE2",2-38,"P17269,P02295,P02297,P17320,P16105"
IID50143,"P61830,E9PAG1,Q6B1U3,D6VQ11,Q6Q7G9","2-38,2-38,2-38,2-38,2-38,2-38,2-38,2-38,2-38,2-38","P02303,P13996"
IID50132,Q5D734,28-33,
IID50121,P61926,"14-34,14-24,14-34,14-34,14-34",P04541
IID50097,"Q8R316,Q8BUS3,Q8C199,Q3V0I4",358-380,
IID50088,Q1EHW4,126-186,
IID50085,"Q03818,D6VZY1","1-57,1-57,1-57",
IID50069,"P11632,D6W459",1-17,
IID50068,"P10279,Q8MJI7,Q5UK71,Q7YRN3,Q0VD57,A1YVV9,Q5UK69,Q6UL03,Q5UJM6,Q01880,Q6UL04,Q5UJJ5,Q6UL06,Q6UL05",25-134,
IID50067,"P06701,D6VZ77,E9P924","77-81,77-81,24-36,24-36,77-81,24-36",
IID50063,"P04911,D6VSK7","127-132,101-132",
IID50058,O35274,"417-494,417-494",
IID50055,"Q642U1,Q8K4J6","16-142,16-142,16-142,16-142",
IID50052,"Q24246,Q9TZR9,O96516,O96511,Q9TZR7,Q9TZS0,Q9VR78,O96510,Q86BQ5,Q9NG49,O96513,Q9TZR8,O96515,O96514,O96508,Q5U0Z1,O96512","84-143,84-143",
IID50049,"P70662,O55204,Q1EQX2,Q71V68","336-374,336-374,336-374,336-374,336-374,336-374,336-374,336-374,336-374",
IID50047,"P61372,Q812D8",262-291,"P20663,P47894"
IID50044,"P35465,Q62934",75-118,
IID50042,"P23615,D6VUP7",239-311,
IID50036,"Q64364,Q9QXC7,Q4U255,Q9R051",1-37,
IID50024,"Q60795,Q3UQK0","1-98,1-98,1-98",
IID50013,Q29495,1-29,
IID50009,"P52293,Q64292",1-70,
IID50008,"P45481,E9QPH4","2057-2117,2057-2117,2057-2117",
IID50007,"P32499,D6VYX5,Q06130","1-720,1-720,1-720",
IID50006,P27782,361-370,
IID50005,"P27577,Q61403",280-308,
IID50004,P15337,101-160,
IID50003,"P09803,Q61377",773-884,
